OrderId,OrderDate,ShipDate,ShipMode,City,OrderDateCalc,IngestionDate
CA-2017-152156,08/11/2017,2017/11/11,Second Class,Henderson,08/11/2017,2022-06-20
CA-2017-152156,08/11/2017,2017/11/11,Second Class,Henderson,08/11/2017,2022-06-20
CA-2017-138688,12/06/2017,2017/06/16,Second Class,Los Angeles,12/06/2017,2022-06-20
US-2016-108966,11/10/2016,2016/10/18,Standard Class,Fort Lauderdale,11/10/2016,2022-06-20
US-2016-108966,11/10/2016,2016/10/18,Standard Class,Fort Lauderdale,11/10/2016,2022-06-20
CA-2015-115812,09/06/2015,2015/06/14,Standard Class,Los Angeles,09/06/2015,2022-06-20
CA-2015-115812,09/06/2015,2015/06/14,Standard Class,Los Angeles,09/06/2015,2022-06-20
CA-2015-115812,09/06/2015,2015/06/14,Standard Class,Los Angeles,09/06/2015,2022-06-20
CA-2015-115812,09/06/2015,2015/06/14,Standard Class,Los Angeles,09/06/2015,2022-06-20
CA-2015-115812,09/06/2015,2015/06/14,Standard Class,Los Angeles,09/06/2015,2022-06-20
CA-2015-115812,09/06/2015,2015/06/14,Standard Class,Los Angeles,09/06/2015,2022-06-20
CA-2015-115812,09/06/2015,2015/06/14,Standard Class,Los Angeles,09/06/2015,2022-06-20
CA-2018-114412,15/04/2018,2018/04/20,Standard Class,Concord,15/04/2018,2022-06-20
CA-2017-161389,05/12/2017,2017/10/12,Standard Class,Seattle,05/12/2017,2022-06-20
US-2016-118983,22/11/2016,2016/11/26,Standard Class,Fort Worth,22/11/2016,2022-06-20
US-2016-118983,22/11/2016,2016/11/26,Standard Class,Fort Worth,22/11/2016,2022-06-20
CA-2015-105893,11/11/2015,2015/11/18,Standard Class,Madison,11/11/2015,2022-06-20
CA-2015-167164,13/05/2015,2015/05/15,Second Class,West Jordan,13/05/2015,2022-06-20
CA-2015-143336,27/08/2015,2015/01/09,Second Class,San Francisco,27/08/2015,2022-06-20
CA-2015-143336,27/08/2015,2015/01/09,Second Class,San Francisco,27/08/2015,2022-06-20
CA-2015-143336,27/08/2015,2015/01/09,Second Class,San Francisco,27/08/2015,2022-06-20
CA-2017-137330,09/12/2017,2017/12/13,Standard Class,Fremont,09/12/2017,2022-06-20
CA-2017-137330,09/12/2017,2017/12/13,Standard Class,Fremont,09/12/2017,2022-06-20
US-2018-156909,16/07/2018,2018/07/18,Second Class,Philadelphia,16/07/2018,2022-06-20
CA-2016-106320,25/09/2016,2016/09/30,Standard Class,Orem,25/09/2016,2022-06-20
CA-2017-121755,16/01/2017,2017/01/20,Second Class,Los Angeles,16/01/2017,2022-06-20
CA-2017-121755,16/01/2017,2017/01/20,Second Class,Los Angeles,16/01/2017,2022-06-20
US-2016-150630,17/09/2016,2016/09/21,Standard Class,Philadelphia,17/09/2016,2022-06-20
US-2016-150630,17/09/2016,2016/09/21,Standard Class,Philadelphia,17/09/2016,2022-06-20
US-2016-150630,17/09/2016,2016/09/21,Standard Class,Philadelphia,17/09/2016,2022-06-20
US-2016-150630,17/09/2016,2016/09/21,Standard Class,Philadelphia,17/09/2016,2022-06-20
US-2016-150630,17/09/2016,2016/09/21,Standard Class,Philadelphia,17/09/2016,2022-06-20
US-2016-150630,17/09/2016,2016/09/21,Standard Class,Philadelphia,17/09/2016,2022-06-20
US-2016-150630,17/09/2016,2016/09/21,Standard Class,Philadelphia,17/09/2016,2022-06-20
CA-2018-107727,19/10/2018,2018/10/23,Second Class,Houston,19/10/2018,2022-06-20
CA-2017-117590,08/12/2017,2017/10/12,First Class,Richardson,08/12/2017,2022-06-20
CA-2017-117590,08/12/2017,2017/10/12,First Class,Richardson,08/12/2017,2022-06-20
CA-2016-117415,27/12/2016,2016/12/31,Standard Class,Houston,27/12/2016,2022-06-20
CA-2016-117415,27/12/2016,2016/12/31,Standard Class,Houston,27/12/2016,2022-06-20
CA-2016-117415,27/12/2016,2016/12/31,Standard Class,Houston,27/12/2016,2022-06-20
CA-2016-117415,27/12/2016,2016/12/31,Standard Class,Houston,27/12/2016,2022-06-20
CA-2018-120999,10/09/2018,2018/09/15,Standard Class,Naperville,10/09/2018,2022-06-20
CA-2017-101343,17/07/2017,2017/07/22,Standard Class,Los Angeles,17/07/2017,2022-06-20
CA-2018-139619,19/09/2018,2018/09/23,Standard Class,Melbourne,19/09/2018,2022-06-20
CA-2017-118255,11/03/2017,2017/03/13,First Class,Eagan,11/03/2017,2022-06-20
CA-2017-118255,11/03/2017,2017/03/13,First Class,Eagan,11/03/2017,2022-06-20
